,lucode,lulc_name,nesting_all_availability_index,floral_resources_annual_index,notes,bioregion,bio_desc
272,0,Background,0.0,0.0,,NA10,Northeastern American Mixed Forests (NA10)
273,11,Open Water,0.0,0.0,,NA10,Northeastern American Mixed Forests (NA10)
274,12,Perennial Ice/Snow,0.0,0.0,,NA10,Northeastern American Mixed Forests (NA10)
275,21,"Developed, Open Space",0.323799159,0.488612477,,NA10,Northeastern American Mixed Forests (NA10)
276,22,"Developed, Low Intensity",0.290735164,0.536726367,,NA10,Northeastern American Mixed Forests (NA10)
277,23,"Developed, Medium Intensity",0.171655787,0.439643198,,NA10,Northeastern American Mixed Forests (NA10)
278,24,"Developed, High Intensity",0.092345213,0.342894466,,NA10,Northeastern American Mixed Forests (NA10)
279,31,Barren Land,0.213039209,0.253280228,,NA10,Northeastern American Mixed Forests (NA10)
280,41,Deciduous Forest,0.551721758,0.530005956,,NA10,Northeastern American Mixed Forests (NA10)
281,42,Evergreen Forest,0.43861668,0.415253678,,NA10,Northeastern American Mixed Forests (NA10)
282,43,Mixed Forest,0.676985046,0.482223419,,NA10,Northeastern American Mixed Forests (NA10)
283,52,Shrub/Scrub,0.719726597,0.560492743,,NA10,Northeastern American Mixed Forests (NA10)
284,71,Herbaceuous,0.383345494,0.450428722,,NA10,Northeastern American Mixed Forests (NA10)
285,81,Hay/Pasture,0.383345494,0.450428722,Averaged Corn and Soybeans,NA10,Northeastern American Mixed Forests (NA10)
286,82,Cultivated Crops,0.157212261,0.212910104,,NA10,Northeastern American Mixed Forests (NA10)
287,90,Woody Wetlands,0.221259249,0.513648933,,NA10,Northeastern American Mixed Forests (NA10)
288,95,Emergent Herbaceuous Wetlands,0.15601586,0.47352604,,NA10,Northeastern American Mixed Forests (NA10)
