,lucode,LULC_name,C_above,C_below,C_soil,C_dead,C_embedded,C_emissions,bioregion,bio_desc
306,0,Background,0.0,0.0,0.0,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
307,11,Open Water,0.0,0.0,0.0,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
308,12,Perennial Ice/Snow,0.0,0.0,0.0,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
309,21,"Developed, Open Space",52.88965238,3.4,100.9862746,4.4,0.0,0.325,NA12,Northern Prairie & Aspen Forests (NA12)
310,22,"Developed, Low Intensity",187.4518556,2.933333333,78.01443599,17.4800813,707.7,122.611568,NA12,Northern Prairie & Aspen Forests (NA12)
311,23,"Developed, Medium Intensity",171.9014141,2.933333333,77.1556028,17.26341463,636.5666667,480.4527055,NA12,Northern Prairie & Aspen Forests (NA12)
312,24,"Developed, High Intensity",142.4575121,2.933333333,78.85237525,17.2800813,1627.85,860.1464445,NA12,Northern Prairie & Aspen Forests (NA12)
313,31,Barren Land,6.8,0.0,25.5,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
314,41,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
315,42,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
316,43,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
317,52,Shrub/Scrub,47.875,0.0,68.15477645,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
318,71,Herbaceuous,10.10660117,8.0,98.79264417,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
319,81,Hay/Pasture,10.10660117,8.0,98.79264417,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
320,82,Cultivated Crops,4.793840162,0.0,65.75263422,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
321,90,Woody Wetlands,33.5,0.0,716.9138542,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
322,95,Emergent Herbaceuous Wetlands,33.5,0.0,716.9138542,0.0,0.0,0.0,NA12,Northern Prairie & Aspen Forests (NA12)
